nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Japon,125800000,377975,Asia
Brasil,213993437,8515767,America
Alemania,83149300,357022,Europa
Canada,38250000,9984670,America
India,1380004385,3287263,Asia
China,1444216107,9596961,Asia
Australia,25788000,7692024,Oceania
Francia,67390000,551695,Europa
Italia,60244639,301340,Europa
Mexico,128932753,1964375,America
Reino Unido,67220000,243610,Europa
Rusia,146171015,17098246,Europa
Sudafrica,59308690,1221037,Africa
Egipto,102334404,1002450,Africa
Nigeria,206139587,923768,Africa
Kenia,53771296,580367,Africa
Chile,19116201,756102,America
Peru,32971854,1285216,America
Colombia,50882891,1141748,America
Venezuela,28435940,912050,America
Bolivia,11673021,1098581,America
Paraguay,7132538,406752,America
Uruguay,3473730,176215,America
Ecuador,17643054,283561,America
Espana,47351567,505992,Europa
Portugal,10196709,92212,Europa
Paises Bajos,17441500,41543,Europa
Belgica,11589623,30528,Europa
Suiza,8654622,41284,Europa
Suecia,10353442,450295,Europa
Noruega,5421241,385207,Europa
Finlandia,5540720,338424,Europa
Polonia,37846611,312679,Europa
Ucrania,43733762,603500,Europa
Turquia,84339067,783562,Europa
Arabia Saudita,34813867,2149690,Asia
Iran,83992949,1648195,Asia
Irak,40222493,438317,Asia
Afganistan,38928346,652230,Asia
Pakistan,220892331,881913,Asia
Tailandia,69799978,513120,Asia
Vietnam,97338579,331212,Asia
Indonesia,273523615,1904569,Asia
Malasia,32365999,330803,Asia
Filipinas,109581078,300000,Asia
Israel,9216900,20770,Asia
Emiratos Arabes Unidos,9890400,83600,Asia
Nueva Zelanda,5124100,268838,Asia
Marruecos,36910560,446550,Africa
Ghana,31072940,238533,Africa
Bangladesh,177,148460,Asia
